Referenza,Pershkrim,ml/g,Barcode,P.V.P. 2017,Sasia,CM.BLERJE.,Cmimi,,,,,,,
,FRAGRANCES FEMININES,,,,,,,,,,,,,
,DIORISSIMO,,,,,,,,,,,,,
,EAU DE TOILETTE,,,,,,,,,,,,,
F006422909,Vaporisateur,50,3348900314283,€ 77.84,,,,,,,,,,
F006424909,Vaporisateur,100,3348900314290,€ 109.97,,,,,,,,,,
,POISON,,,€ 0.00,,,,,,,,,,
,EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F006321009,Vaporisateur,30,3348900011595,€ 57.89,1,,,,,,,,,
F006322009,Vaporisateur,50,3348900011632,€ 77.84,1,,,,,,,,,
F006324009,Vaporisateur,100,3348900011687,€ 109.97,1,,,,,,,,,
,POISON GIRL,,,€ 0.00,,,,,,,,,,
,EAU DE PARFUM,,,€ 0.00,,,,,,,,,,
F076321009,Vaporisateur,30,3348901293822,€ 62.00,10,32.24,322.40,,,,,,,
F076322009,Vaporisateur,50,3348901293839,€ 94.32,10,49.05,490.48,,,,,,,
F076324009,Vaporisateur,100,3348901293846,€ 133.44,10,69.39,693.87,,,,,,,
,EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F026321009,Vaporisateur,30,3348901345743,€ 57.89,,,,,,,,,,
F026322009,Vaporisateur,50,3348901345729,€ 77.84,,,,,,,,,,
F026324009,Vaporisateur,100,3348901345736,€ 109.97,,,,,,,,,,
,HYPNOTIC POISON,,,€ 0.00,,,,,,,,,,
,EAU DE PARFUM,,,€ 0.00,,,,,,,,,,
F008342409,Vaporisateur,50,3348901192224,€ 94.32,20,49.05,980.96,,,,,,,
F008344409,Vaporisateur,100,3348901192231,€ 133.44,20,69.39,1387.75,,,,,,,
,EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F006341009,Vaporisateur,30,3348900378551,€ 57.89,20,30.10,602.09,,,,,,,
F006342009,Vaporisateur,50,3348900378575,€ 77.84,20,40.48,809.54,,,,,,,
F006344009,Vaporisateur,100,3348900425309,€ 109.97,20,57.18,1143.67,,,,,,,
F006386009,Vaporisateur,150,3348901250351,€ 134.80,,,,,,,,,,
,PRODUITS POUR LE BAIN,,,€ 0.00,,,,,,,,,,
F000949000,Gel Douche Satiné,200,3348901282833,€ 44.04,,,,,,,,,,
F056364009,Déodorant Parfumé Vaporisateur,100,3348900943315,€ 45.58,30,23.70,710.97,,,,,,,
F000835000,Lait Satiné pour le Corps,200,3348901282840,€ 53.26,15,27.70,415.44,,,,,,,
,PURE POISON,,,€ 0.00,,,,,,,,,,
,EAU DE PARFUM,,,€ 0.00,,,,,,,,,,
F008321609,Vaporisateur,30,3348900606692,€ 67.82,10,35.27,352.65,,,,,,,
F008322609,Vaporisateur,50,3348900606708,€ 94.32,10,49.05,490.48,,,,,,,
F008324609,Vaporisateur,100,3348900606715,€ 133.44,10,69.39,693.87,,,,,,,
,DUNE,,,€ 0.00,,,,,,,,,,
,EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F006922009,Vaporisateur,50,3348900103856,€ 77.84,,,,,,,,,,
F006924009,Vaporisateur,100,3348900103870,€ 109.97,,,,,,,,,,
,DOLCE VITA,,,€ 0.00,,,,,,,,,,
,EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F061022009,Vaporisateur,50,3348900236714,€ 77.84,,,,,,,,,,
F061024009,Vaporisateur,100,3348900236738,€ 109.97,,,,,,,,,,
,J'ADORE,,,€ 0.00,,,,,,,,,,
,TOUCHE DE PARFUM ,,,€ 0.00,,,,,,,,,,
F043530000,Flacon,20,3348901263085,€ 94.32,,,,,,,,,,
,L'OR ESSENCE DE PARFUM,,,€ 0.00,,,,,,,,,,
F041542409,Vaporisateur,40,3348901211741,€ 133.44,,,,,,,,,,
,L'ABSOLU EAU DE PARFUM,,,€ 0.00,,,,,,,,,,
F071522439,Vaporisateur,50,3348901211734,€ 103.76,,,,,,,,,,
F071523439,Vaporisateur,75,3348901211727,€ 126.78,,,,,,,,,,
,EAU DE PARFUM,,,€ 0.00,,,,,,,,,,
F071521009,Vaporisateur,30,3348900417892,€ 67.82,,,,,,,,,,
F071522009,Vaporisateur,50,3348900417885,€ 94.32,1,,,,,,,,,
F071524009,Vaporisateur,100,3348900417878,€ 133.44,1,,,,,,,,,
F071586009,Vaporisateur,150,3348901237116,€ 166.79,,,,,,,,,,
F081560025,Vapo Sac + 2 Recharges,20+20X2,3348901076012,€ 108.47,,,,,,,,,,
F081560015,3 Recharges,20X3,3348901076029,€ 94.32,,,,,,,,,,
,VOILE DE PARFUM ,,,€ 0.00,,,,,,,,,,
F091512009,Vaporisateur ,50,3348901131803,€ 80.93,,,,,,,,,,
F091514009,Vaporisateur ,100,3348901131810,€ 115.42,,,,,,,,,,
,EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F361522609,Vaporisateur,50,3348901296625,€ 77.84,,,,,,,,,,
F361524609,Vaporisateur,100,3348901296632,€ 109.97,,,,,,,,,,
,PRODUITS POUR LE BAIN,,,€ 0.00,,,,,,,,,,
F053015833,Savon Soyeux,150,3348900852679,€ 29.19,,,,,,,,,,
F052015818,Gel Douche Onctueux ,200,3348900852686,€ 47.58,,,,,,,,,,
F054015864,Déodorant Parfumé Vaporisateur,100,3348900852655,€ 45.58,,,,,,,,,,
F051505000,Lait Embellisseur pour le Corps,150,3348901138123,€ 53.26,,,,,,,,,,
F051015838,Crème Sublimatrice pour le Corps,200,3348900852693,€ 77.84,,,,,,,,,,
F001525000,Huile Sèche Satinée pour le Corps,150,3348901138130,€ 57.35,,,,,,,,,,
F000407000,Huile Divine de Bain,200,3348901300902,€ 79.79,,,,,,,,,,
F001501009,Parfum pour les Cheveux,30,3348900892309,€ 44.56,,,,,,,,,,
,COLLECTION CROISIERE - ESCALE A PORTOFINO,,,€ 0.00,,,,,,,,,,
,EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F065123800,Vaporisateur ,75,3348900863286,€ 80.37,,,,,,,,,,
F065125800,Vaporisateur ,125,3348900863293,€ 115.73,,,,,,,,,,
,DIOR ADDICT,,,€ 0.00,,,,,,,,,,
,EAU DE PARFUM,,,€ 0.00,,,,,,,,,,
F007281409,Vaporisateur,30,3348901182331,€ 67.82,,,,,,,,,,
F007282409,Vaporisateur,50,3348901182348,€ 94.32,,,,,,,,,,
F007284409,Vaporisateur,100,3348901181839,€ 133.44,,,,,,,,,,
,EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F062872009,Vaporisateur,50,3348901206167,€ 77.84,,,,,,,,,,
F062874009,Vaporisateur,100,3348901206174,€ 109.97,,,,,,,,,,
,EAU FRAICHE EAU DE TOILETTE ,,,€ 0.00,,,,,,,,,,
F006282849,Vaporisateur,50,3348901181853,€ 77.84,,,,,,,,,,
F006284849,Vaporisateur,100,3348901182362,€ 109.97,,,,,,,,,,
,PRODUITS POUR LE BAIN,,,€ 0.00,,,,,,,,,,
F001735009,Déodorant Parfumé Vaporisateur,100,3348901250344,€ 45.58,,,,,,,,,,
F000834000,Lait Velouté pour le Corps,200,3348901250320,€ 53.26,,,,,,,,,,
,MISS DIOR ORIGINAL,,,€ 0.00,,,,,,,,,,
,EAU DE TOILETTE ORIGINALE,,,€ 0.00,,,,,,,,,,
F006222909,Vaporisateur,50,3348900142305,€ 77.84,,,,,,,,,,
F006224909,Vaporisateur,100,3348900142312,€ 109.97,,,,,,,,,,
,MISS DIOR ,,,€ 0.00,,,,,,,,,,
,LE PARFUM EAU DE PARFUM INTENSE,,,€ 0.00,,,,,,,,,,
F041242009,Vaporisateur,40,3348901100496,€ 94.32,,,,,,,,,,
F041203009,Vaporisateur,75,3348901111300,€ 125.52,,,,,,,,,,
,EAU DE PARFUM,,,€ 0.00,,,,,,,,,,
F008221109,FRAGRANCES FEMININES,30,3348901016261,€ 67.82,20,35.27,705.31,,,,,,,
F008222109,Vaporisateur,50,3348901016278,€ 94.32,20,49.05,980.96,,,,,,,
F008224109,Vaporisateur,100,3348901016285,€ 133.44,20,69.39,1387.75,,,,,,,
F008286009,Vaporisateur,150,3348901283991,€ 165.14,,,,,,,,,,
,ABSOLUTELY EAU DE PARFUM,,,€ 0.00,,,,,,,,,,
F078221009,Vaporisateur,30,3348901300063,€ 67.82,10,35.27,352.65,,,,,,,
F078222009,Vaporisateur,50,3348901300056,€ 94.32,10,49.05,490.48,,,,,,,
F078224009,Vaporisateur,100,3348901300049,€ 133.44,10,69.39,693.87,,,,,,,
,EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F006242309,Vaporisateur,50,3348901132879,€ 77.84,,,,,,,,,,
F006244309,Vaporisateur,100,3348901132886,€ 109.97,,,,,,,,,,
,BLOOMING BOUQUET EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F032622889,Vaporisateur,50,3348900871984,€ 77.84,2,,,,,,,,,
F032624889,Vaporisateur,100,3348900871991,€ 109.97,,,,,,,,,,
F032686009,Vaporisateur,150,3348901283984,€ 134.80,,,,,,,,,,
,PRODUITS POUR LE BAIN,,,€ 0.00,,,,,,,,,,
F000237901,Savon Soyeux ,150 gr,3348901135207,€ 29.19,,,,,,,,,,
F000951000,Gel Douche ,200,3348901333122,€ 47.58,,,,,,,,,,
F001738000,Déodorant Vaporisateur ,100,3348901333139,€ 45.58,40,23.70,947.97,,,,,,,
F001901009,Brume Soyeuse pour le Corps,100,3348901288835,€ 48.65,,,,,,,,,,
F060288100,Hydratant Parfumé pour le Corps,200,3348900710320,€ 53.26,20,27.70,553.93,,,,,,,
F001600009,Parfum Pour Les Cheveux,30,3348901255820,€ 44.56,,,,,,,,,,
,FRAGRANCES MASCULINES,,,€ 0.00,,,,,,,,,,
,SAUVAGE,,,€ 0.00,,,,,,,,,,
,EAU DE TOILETTE,,,€ 0.00,,,,,,,,,,
F068522009,Vaporisateur ,60,3348901250153,€ 68.58,60,35.66,2139.60,,,,,,,
F068524009,Vaporisateur ,100,3348901250146,€ 94.23,60,49.00,2939.83,,,,,,,
F068528009,Vaporisateur,200,3348901321129,€ 143.50,10,74.62,746.19,,,,,,,
,PRODUITS POUR LE BAIN,,,€ 0.00,,,,,,,,,,
F000950000,Gel Douche ,200,3348901292252,€ 34.83,,,,,,,,,,
F001734009,Déodorant Vaporisateur Métal,150,3348901250276,€ 34.06,60,17.71,1062.52,,,,,,,
